team,id,region
Villanova,1437,East
New Orleans,1309,East
Mount St. Mary's,1291,East
Wisconsin,1458,East
Virginia Tech,1439,East
Virginia,1438,East
UNC Wilmington,1423,East
Florida,1196,East
East Tennessee St.,1190,East
SMU,1374,East
Providence,1344,East
USC,1425,East
Baylor,1124,East
New Mexico St.,1308,East
South Carolina,1376,East
Marquette,1266,East
Duke,1181,East
Troy,1407,East
Gonzaga,1211,West
South Dakota St.,1355,West
Northwestern,1321,West
Vanderbilt,1435,West
Notre Dame,1323,West
Princeton,1343,West
West Virginia,1452,West
Bucknell,1137,West
Maryland,1268,West
Xavier,1462,West
Florida St.,1199,West
Florida Gulf Coast,1195,West
Saint Mary's,1388,West
VCU,1433,West
Arizona,1112,West
North Dakota,1315,West
Kansas,1242,Midwest
North Carolina Central,1300,Midwest
UC Davis,1413,Midwest
Miami FL,1274,Midwest
Michigan St.,1277,Midwest
Iowa St.,1235,Midwest
Nevada,1305,Midwest
Purdue,1345,Midwest
Vermont,1436,Midwest
Creighton,1166,Midwest
Rhode Island,1348,Midwest
Oregon,1332,Midwest
Iona,1233,Midwest
Michigan,1276,Midwest
Oklahoma St.,1329,Midwest
Louisville,1257,Midwest
Jacksonville St.,1240,Midwest
North Carolina,1314,South
Texas Southern,1411,South
Arkansas,1116,South
Seton Hall,1371,South
Minnesota,1278,South
Middle Tennessee,1292,South
Butler,1139,South
Winthrop,1457,South
Cincinnati,1153,South
Wake Forest,1448,South
Kansas St.,1243,South
UCLA,1417,South
Kent St.,1245,South
Dayton,1173,South
Wichita St.,1455,South
Kentucky,1246,South
Northern Kentucky,1297,South
